"RefMetadataComponentId","RefMetadataComponentType","RefMetadataComponentName","MetadataComponentId","MetadataComponentType","MetadataComponentName"
"01p2J000004k0dhQAA","ApexClass","brKnowledgeDataCategoryWrapper","01p2J000004k0ddQAA","ApexClass","brKnowledgeDataCategoryUtilCtrl"
"01p2J000004k0dhQAA","ApexClass","brKnowledgeDataCategoryWrapper","01p2J000004k0deQAA","ApexClass","brKnowledgeDataCategoryUtilCtrlTest"
"01p2J000004k0dhQAA","ApexClass","brKnowledgeDataCategoryWrapper","01p2J000004k0dfQAA","ApexClass","brKnowledgeDataCategoryUtilHelper"
"01p2J000004k0dhQAA","ApexClass","brKnowledgeDataCategoryWrapper","01p2J000004k0dgQAA","ApexClass","brKnowledgeDataCategoryUtilHelperTest"
"01p2J000004k0iYQAQ","ApexClass","LUTestDataFactory","01p2J000004k0ibQAA","ApexClass","UpdateLUUserControllerTest"
"01p2J000004k0iZQAQ","ApexClass","LearnUponIntegration","01p2J000004k0icQAA","ApexClass","UpdateLearnUponUserController"
"01p2J000004k0iaQAA","ApexClass","LearnUponMockResponse","01p2J000004k0ibQAA","ApexClass","UpdateLUUserControllerTest"
"01p2J000004k0icQAA","ApexClass","UpdateLearnUponUserController","01p2J000004k0ibQAA","ApexClass","UpdateLUUserControllerTest"
"01p2J000004k0icQAA","ApexClass","UpdateLearnUponUserController","0662J0000021x6eQAA","ApexPage","UpdateLearnUponUser"
"01p2J000004k0ndQAA","ApexClass","SIMPLUS_tempUpdate","01p2J000004k0neQAA","ApexClass","SIMPLUS_tempUpdateTest"
"01p2J000004k0qmQAA","ApexClass","ChatterAnswersRegistration","01p2J000004k0qpQAA","ApexClass","ChatterAnswersAuthProviderRegistration"
"01p2J000004k0r1QAA","ApexClass","JiveDiscussionBatchable","01p2J000004k0r2QAA","ApexClass","JiveDiscussionBatchableTest"
"01p2J000004k0r3QAA","ApexClass","JiveUtil","01p2J000004k0r1QAA","ApexClass","JiveDiscussionBatchable"
"01p2J000004k0r3QAA","ApexClass","JiveUtil","01p2J000004k0r4QAA","ApexClass","JiveUtilTest"
"01p2J000004k3KtQAI","ApexClass","TaskHandlerUtility","01p2J000004Rj6EQAS","ApexClass","TaskHandler"
"01p2J000004k3KtQAI","ApexClass","TaskHandlerUtility","01p2J000004k3KsQAI","ApexClass","TaskHandlerTest"
"01p2J000004k54XQAQ","ApexClass","BP_UpdateCommUser","01p2J000004k54YQAQ","ApexClass","BP_UpdateCommUser_Test"
"01p2J000004k54XQAQ","ApexClass","BP_UpdateCommUser","01p2J000004k54ZQAQ","ApexClass","LastLogin_CommunityUser"
"01p2J000004k54ZQAQ","ApexClass","LastLogin_CommunityUser","01p2J000004k54aQAA","ApexClass","LastLogin_CommunityUser_Test"
"01p2J000004k5XvQAI","ApexClass","Partners","01p2J000004k5XwQAI","ApexClass","PartnersTest"
"01p2J000004k5XvQAI","ApexClass","Partners","0662J0000021yAaQAI","ApexPage","Partners"
"01p2J000004k5ZrQAI","ApexClass","FutureAccountTransferSchedulableBatch","01p2J000004k5ZsQAI","ApexClass","FutureAccountTransferTest"
"01p2J000004k6QmQAI","ApexClass","AttendeeNamestoEMR","01q2J000000kBuyQAE","ApexTrigger","AttendeeHandler"
"01p2J000004k6ZLQAY","ApexClass","BP_Send_Weekly_Project_Email_for_US","01p2J000004k6ZKQAY","ApexClass","BP_Send_Weekly_Project_Email_US_Test"
"01p2J000004k6ZLQAY","ApexClass","BP_Send_Weekly_Project_Email_for_US","01p2J000004k6ZNQAY","ApexClass","Schedule_Project_Status_Emails_for_US"
"01p2J000004k6ZNQAY","ApexClass","Schedule_Project_Status_Emails_for_US","01p2J000004k6ZMQAY","ApexClass","Schedule_Project_Status_Emails_US_Test"
"01p2J000004k6d2QAA","ApexClass","AttachmentHandler","01p2J000004k6d3QAA","ApexClass","AttachmentHandlerTest"
"01p2J000004k6d2QAA","ApexClass","AttachmentHandler","01q2J000000kBx4QAE","ApexTrigger","AttachmentTriggerBL"
"01p2J000004k6d8QAA","ApexClass","BP_Send_Weekly_Project_Email_for_EMEA","01p2J000004k6d7QAA","ApexClass","BP_Send_Weekly_Project_Email_EMEA_Test"
"01p2J000004k6d8QAA","ApexClass","BP_Send_Weekly_Project_Email_for_EMEA","01p2J000004k6dAQAQ","ApexClass","Schedule_Project_Status_Emails_for_EMEA"
"01p2J000004k6dAQAQ","ApexClass","Schedule_Project_Status_Emails_for_EMEA","01p2J000004k6d9QAA","ApexClass","Schedule_Project_Status_Emails_EMEA_Test"
"01p2J000004k8KyQAI","ApexClass","Acct_Hierarchy_for_Account_Plan","01p2J000004k8KxQAI","ApexClass","Account_Plan_Test"
"01p2J000004k8KyQAI","ApexClass","Acct_Hierarchy_for_Account_Plan","0662J0000021yrDQAQ","ApexPage","Acct_Hierarchy_for_Account_Plan"
"01p2J000004k8KzQAI","ApexClass","Agreements_for_Account_Plan","01p2J000004k8KxQAI","ApexClass","Account_Plan_Test"
"01p2J000004k8KzQAI","ApexClass","Agreements_for_Account_Plan","0662J0000021yrEQAQ","ApexPage","Agreements_for_Account_Plan"
"01p2J000004k8L0QAI","ApexClass","ContactRoles_for_Account_Plan","01p2J000004k8KxQAI","ApexClass","Account_Plan_Test"
"01p2J000004k8L0QAI","ApexClass","ContactRoles_for_Account_Plan","0662J0000021yrFQAQ","ApexPage","ContactRoles_for_Account_Plan"
"01p2J000004k8L1QAI","ApexClass","GS_Features_for_Account_Plan","01p2J000004k8KxQAI","ApexClass","Account_Plan_Test"
"01p2J000004k8L1QAI","ApexClass","GS_Features_for_Account_Plan","0662J0000021yrGQAQ","ApexPage","GS_Features_for_Account_Plan"
"01p2J000004k8L2QAI","ApexClass","OpenOpps_for_Account_Plan","01p2J000004k8KxQAI","ApexClass","Account_Plan_Test"
